Blunt Object,Category of Force Event - Measured at Event Level,Disposition/Custody,DOW,Firearm,Firearm - Implied,Firearm - Replica,Force Applied - 1,Force Applied - 2,Force Applied - 3,Force Applied - 4,Force Applied - 5,Force Applied - 6,Force Applied - 7,Force Applied - 8,Hour (6Hr),Initial Call Category,Initial Call type,Knife / Edged Weapon / Stabbing Instrument,"Mental Health Crisis - Prior to Force, Perceived Lack of Compliance",Needle / Spit / Bodily Fluids,No weapon (unarmed),Officer,Officer Precinct,Officer Tenure,Other Weapon,Record ID,Subject,Subject - Race,Subject - Sex,Subject - Transient,Subject Age,Subject Instance,Subject Resistance - 1,Subject Resistance - 2,Subject Resistance - 3,Subject Resistance - 4,Subject Resistance - 5,Subject Resistance - 6,Subject Resistance - 7,Subject Resistance - 8,Type of Call,"Under the Influence of Alcohol - Prior to Force, Perceived Condition","Under the Influence of Drugs - Prior to Force, Perceived Condition",Weapon Present or reported but not used or threatened use,Record Count,Record Count,Month-Year
,,Arrest-Misdemeanor,MON,,,,Takedown,Strikes/kicks,,,,,,,-,Threat,THREAT - PRIORITY,,,,No weapon (unarmed),1042951,Central Precinct,3,,757518045,3822814,Black,Female,Yes,36,3820000000000000,Aggressive,Active,,,,,,,Dispatched,,,,1,1,Aug-17
,,Arrest-Warrant,MON,,,,PFA,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,No,,No weapon (unarmed),882128,North Precinct,25,,719518135,440042,Hispanic,Male,Yes,22,440000000000000,Passive,,,,,,,,Dispatched,,,,1,1,Jul-17
,,Arrest-Warrant,MON,,,,Takedown,,,,,,,,-,Warrant,WARRANT,,,,,967940,North Precinct,9,,887518326,258975,White,Male,Yes,50,259000000000000,Active,,,,,,,,Dispatched,,Yes,Weapon Present or reported but not used or threatened use,1,1,Aug-17
,,Detained and Released,MON,,,,PFA,,,,,,,,-,Suspicious,SUSPICIOUS - WITH WEAPON *H,,,,,175560,North Precinct,16,,272517880,162708,Black,Male,Yes,45,163000000000000,Passive,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,1,1,Jul-17
,,Detained and Released,MON,Firearm,,,PFA,,,,,,,,-,Stolen Vehicle,VEHICLE STOLEN - COLD,,,,,501691,North Precinct,6,,72518118,440042,Hispanic,Male,Yes,22,44000000000000,Active,,,,,,,,Self-Initiated,,,,1,1,Jul-17
,,Detained and Released,MON,Firearm,,,PFA,,,,,,,,-,Stolen Vehicle,VEHICLE STOLEN - COLD,,,,,501691,North Precinct,6,,72518118,486801,Native American,Male,Yes,25,48700000000000,Active,,,,,,,,Self-Initiated,,,,1,1,Jul-17
,,Escaped,MON,,,,PFA,,,,,,,,-,Alarm,ALARM - AUDIBLE / MONITORED,,,,No weapon (unarmed),791219,North Precinct,18,,752518225,,White,Male,,118,,Active,,,,,,,,Dispatched,,,,1,1,Aug-17
,,Release to Medical,MON,,,,Less Lethal,Less Lethal,Less Lethal,Less Lethal,Less Lethal,Less Lethal,,,-,Disturbance,DISTURBANCE - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,Yes,,,368581,Central Precinct,7,,584518233,624149,White,Male,Yes,38,624000000000000,Active,Active,Active,Active,Active,Active,,,Dispatched,Yes,Yes,,1,1,Aug-17
,,Release to Medical,MON,,,,PFA,,,,,,,,-,Assault,SHOOTING - WITH WEAPON *H,,,,,202461,North Precinct,9,,733517875,168270,Black,Male,No,72,168000000000000,Passive,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,1,1,Jul-17
,,Release to Medical,MON,,,,PFA,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,Yes,,,326279,Central Precinct,10,,584518233,624149,White,Male,Yes,38,624000000000000,Active,,,,,,,,Dispatched,Yes,Yes,,1,1,Aug-17
,,Arrest-Felony,TUE,,,,PFA,,,,,,,,-,Subject Stop,PERSON CONTACT (86),,,,,1064051,North Precinct,1,,501517982,534233,Hispanic,Male,No,32,534000000000000,Active,,,,,,,,Self-Initiated,,Yes,Weapon Present or reported but not used or threatened use,1,1,Jul-17
,,Arrest-Misdemeanor,TUE,,,,PFA,,,,,,,,-,Domestic Violence,DISTURBANCE - DOMESTIC - WITH WEAPON *H,,No,,,607097,East Precinct,23,,212517790,1389053,White,Male,No,35,1390000000000000,Passive,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,1,1,Jul-17
,,Arrest-Misdemeanor,TUE,,,,PFA,,,,,,,,-,TriMet,TRIMET INCIDENT - WITH WEAPON *H,,,,,349979,TOD,19,,549517883,606118,Hispanic,Male,No,19,606000000000000,Passive,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,1,1,Jul-17
,,Arrest-Misdemeanor,TUE,,,,PFA,,,,,,,,-,TriMet,TRIMET INCIDENT - WITH WEAPON *H,,,,,198958,Transit (PPB Only),27,,549517883,606118,Hispanic,Male,No,19,606000000000000,Passive,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,1,1,Jul-17
,,Arrest-Misdemeanor,TUE,,,,Takedown,,,,,,,,-,Assist,RIVER - MARINE INCIDENT,,,,No weapon (unarmed),972240,Central Precinct,10,,135517979,3758680,White,Male,Yes,29,3760000000000000,Active,,,,,,,,Dispatched,,Yes,,1,1,Jul-17
,,Arrest-Misdemeanor,TUE,,,,Takedown,,,,,,,,-,Disturbance,DISTURBANCE - PRIORITY,,,,No weapon (unarmed),218259,Traffic,15,,937517977,3553392,White,Female,No,18,3550000000000000,Active,,,,,,,,Dispatched,,,,1,1,Jul-17
,,Arrest-Misdemeanor,TUE,,,,Takedown,,,,,,,,-,Robbery,ROBBERY - PRIORITY *H,,,,No weapon (unarmed),1043450,North Precinct,9,,456517982,291161,White,Male,No,46,291000000000000,Active,,,,,,,,Dispatched,,,,1,1,Jul-17
,,Arrest-Misdemeanor,TUE,,,,Takedown,,,,,,,,-,Suspicious,SUSPICIOUS - PRIORITY,,No,,No weapon (unarmed),243370,Central Precinct,10,,75518248,3820335,Black,Male,No,53,382000000000000,Active,,,,,,,,Dispatched,No,No,,1,1,Aug-17
,,Arrest-Warrant,TUE,,,,Takedown,,,,,,,,-,Vice,"DRUGS, LIQUOR, PROSTITUTION",,No,Needle / Spit / Bodily Fluids,,476388,East Precinct,23,,19517978,624608,White,Male,Yes,32,62500000000000,Active,,,,,,,,Self-Initiated,,,,1,1,Jul-17
,,Detained and Released,TUE,,,,PFA,,,,,,,,-,Shots Fired,SHOTS FIRED,,No,,No weapon (unarmed),1007239,North Precinct,18,,222517790,7208743,Hispanic,Male,Yes,27,7210000000000000,Passive,,,,,,,,Dispatched,,,,1,1,Jul-17
,,Detained and Released,TUE,,,,PFA,,,,,,,,-,Stolen Vehicle,VEHICLE STOLEN - COLD,,No,,No weapon (unarmed),942039,East Precinct,19,,843517766,620349,White,Female,Yes,23,620000000000000,Passive,,,,,,,,Self-Initiated,,,,1,1,Jul-17
,,Detox,TUE,,,,Takedown,,,,,,,,-,Suspicious,SUSPICIOUS - PRIORITY,,No,,No weapon (unarmed),432690,East Precinct,15,,122518059,615195,White,Male,No,34,615000000000000,Active,,,,,,,,Dispatched,Yes,No,,1,1,Jul-17
,,Detox,TUE,,,,Takedown,,,,,,,,-,Suspicious,SUSPICIOUS - PRIORITY,,No,,No weapon (unarmed),415579,East Precinct,22,,122518059,615195,White,Male,No,34,615000000000000,Active,,,,,,,,Dispatched,Yes,No,,1,1,Jul-17
,,Arrest-Felony,WED,,,,PFA,,,,,,,,-,Area/Premise Check,PREMISE CHECK,,,,No weapon (unarmed),403379,East Precinct,15,,222517900,881998,Black,Male,Yes,37,882000000000000,Active,,,,,,,,Dispatched,,,,1,1,Jul-17
,,Arrest-Felony,WED,,,,PFA,,,,,,,,-,Area/Premise Check,PREMISE CHECK,,,,No weapon (unarmed),403379,East Precinct,15,,222517900,290665,Black,Male,Yes,46,291000000000000,Active,,,,,,,,Dispatched,,,,1,1,Jul-17
,,Arrest-Felony,WED,,,,PFA,,,,,,,,-,Burglary,BURGLARY - PRIORITY *H,,,,No weapon (unarmed),777419,Central Precinct,118,,831518076,840939,White,Male,No,42,841000000000000,Active,,,,,,,,Dispatched,,Yes,,1,1,Jul-17
,,Arrest-Felony,WED,,,,PFA,,,,,,,,-,Stolen Vehicle,VEHICLE STOLEN - COLD,,Unclear,,No weapon (unarmed),1061749,Central Precinct,21,,531517793,1766615,White,Female,No,32,1770000000000000,Active,,,,,,,,Dispatched,,,,1,1,Jul-17
,,Arrest-Felony,WED,,,,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,Strikes/kicks,,,,-,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,,No weapon (unarmed),797721,East Precinct,5,,196518249,1874863,White,Male,Yes,35,1870000000000000,Active,Active,Active,Active,Active,,,,Dispatched,,,,1,1,Aug-17
,,Arrest-Felony,WED,,,,Takedown,,,,,,,,-,Suspicious,"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE",,,,No weapon (unarmed),180060,East Precinct,12,,196518249,1874863,White,Male,Yes,35,1870000000000000,Active,,,,,,,,Dispatched,,,,1,1,Aug-17
,,Arrest-Felony,WED,,,,Takedown,,,,,,,,-,Threat,THREAT - PRIORITY,,,,No weapon (unarmed),1098151,East Precinct,0,,796518075,591940,Black,Male,Yes,33,592000000000000,Active,,,,,,,,Dispatched,,,,1,1,Jul-17
,,Arrest-Felony,WED,,,,Takedown,,,,,,,,-,Threat,THREAT - PRIORITY,,,,No weapon (unarmed),514690,East Precinct,13,,796518075,591940,Black,Male,Yes,33,592000000000000,Active,,,,,,,,Dispatched,,,,1,1,Jul-17
,,Arrest-Felony,WED,,,,Takedown,,,,,,,,-,Threat,THREAT - PRIORITY,,,,No weapon (unarmed),940938,East Precinct,23,,796518075,591940,Black,Male,Yes,33,592000000000000,Active,,,,,,,,Dispatched,,,,1,1,Jul-17
,,Arrest-Felony,WED,,,,Takedown,,,,,,,,-,Welfare Check,WELFARE CHECK - COLD,,No,,No weapon (unarmed),751121,East Precinct,1,,353517811,438452,White,Male,No,34,438000000000000,Active,,,,,,,,Dispatched,,,,1,1,Jul-17
,,Arrest-Felony,WED,,,,Takedown,,,,,,,,-,Welfare Check,WELFARE CHECK - COLD,,No,,No weapon (unarmed),776021,East Precinct,2,,353517811,438452,White,Male,No,34,438000000000000,Active,,,,,,,,Dispatched,,,,1,1,Jul-17
,,Arrest-Felony,WED,,,,Takedown,,,,,,,,-,Welfare Check,WELFARE CHECK - COLD,,No,,No weapon (unarmed),648809,East Precinct,20,,353517811,438452,White,Male,No,34,438000000000000,Active,,,,,,,,Dispatched,,,,1,1,Jul-17
,,Arrest-Misdemeanor,WED,,,,CEW,,,,,,,,-,Behavioral Health,ECIT,,,,No weapon (unarmed),906630,North Precinct,15,,532517803,475787,Black,Male,No,27,476000000000000,Aggressive,,,,,,,,Dispatched,,Yes,,1,1,Jul-17
,,Arrest-Misdemeanor,WED,,,,Takedown,,,,,,,,-,Unwanted Person,UNWANTED PERSON,,,,No weapon (unarmed),650810,Central Precinct,14,,341518341,293776,White,Male,Yes,35,294000000000000,Active,,,,,,,,Dispatched,,Yes,,1,1,Aug-17
,,Arrest-Misdemeanor,WED,,Firearm - Implied,,Takedown,CHWI,,,,,,,-,Warrant,WARRANT,,,,,937541,North Precinct,8,,243518080,515811,Black,Male,No,26,516000000000000,Active,Active,,,,,,,Self-Initiated,,,,1,1,Jul-17
,,Release to Medical,WED,,,,Aerosol rest.,,,,,,,,-,Disturbance,DISTURBANCE - WITH WEAPON *H,,,,,915631,East Precinct,6,,631517804,445841,Black,Female,No,35,446000000000000,Aggressive,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,1,1,Jul-17
,,Arrest-Cited,THU,,,,Takedown,,,,,,,,-,Subject Stop,PERSON CONTACT (86),,,,No weapon (unarmed),855830,Central Precinct,8,,509518182,176920,Black,Male,Yes,56,177000000000000,Active,,,,,,,,Self-Initiated,,Yes,,1,1,Aug-17
,,Arrest-Felony,THU,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,,No weapon (unarmed),427089,North Precinct,12,,983522487,452689,Asian,Male,Yes,32,453000000000000,Passive,,,,,,,,Self-Initiated,,Yes,,1,1,Jul-17
,,Arrest-Felony,THU,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,,,164861,Central Precinct,3,,291518270,1834361,White,Female,No,37,1830000000000000,Active,,,,,,,,Self-Initiated,,Yes,Weapon Present or reported but not used or threatened use,1,1,Aug-17
,,Arrest-Felony,THU,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,,,243370,Central Precinct,10,,291518270,1834361,White,Female,No,37,1830000000000000,Active,,,,,,,,Self-Initiated,,Yes,Weapon Present or reported but not used or threatened use,1,1,Aug-17
,,Arrest-Felony,THU,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,,,1053849,Central Precinct,16,,291518270,1834361,White,Female,No,37,1830000000000000,Active,,,,,,,,Self-Initiated,,Yes,Weapon Present or reported but not used or threatened use,1,1,Aug-17
,,Arrest-Felony,THU,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,,No weapon (unarmed),910731,North Precinct,5,,641518274,153248,Black,Male,No,55,153000000000000,Active,,,,,,,,Self-Initiated,,,,1,1,Aug-17
,,Arrest-Felony,THU,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,,No weapon (unarmed),949741,North Precinct,5,,641518274,153248,Black,Male,No,55,153000000000000,Active,,,,,,,,Self-Initiated,,,,1,1,Aug-17
,,Arrest-Felony,THU,,,,Takedown,,,,,,,,-,Welfare Check,WELFARE CHECK - PRIORITY,,,,No weapon (unarmed),232269,K9,14,,109517818,157945,Black,Male,Yes,41,158000000000000,Active,,,,,,,,Dispatched,,Yes,,1,1,Jul-17
,,Arrest-Misdemeanor,THU,,,,Takedown,,,,,,,,-,Robbery,ROBBERY - PRIORITY *H,,,,No weapon (unarmed),307070,Central Precinct,10,,579518363,390858,White,Female,No,37,391000000000000,Active,,,,,,,,Dispatched,Yes,,,1,1,Aug-17
,,Arrest-Felony,FRI,,,,PFA,,,,,,,,-,Burglary,BURGLARY - PRIORITY *H,,,,No weapon (unarmed),166260,East Precinct,10,,347517931,305391,White,Male,Yes,47,305000000000000,Passive,,,,,,,,Dispatched,,Yes,,1,1,Jul-17
,,Arrest-Felony,FRI,,,,PFA,,,,,,,,-,Burglary,BURGLARY - PRIORITY *H,,,,No weapon (unarmed),1100050,East Precinct,12,,347517931,305391,White,Male,Yes,47,305000000000000,Passive,,,,,,,,Dispatched,,Yes,,1,1,Jul-17
,,Arrest-Felony,FRI,,,,PFA,,,,,,,,-,Subject Stop,PERSON CONTACT (86),,,,No weapon (unarmed),924741,North Precinct,5,,411517921,563995,Hispanic,Male,No,32,564000000000000,Active,,,,,,,,Self-Initiated,Yes,,,1,1,Jul-17
,,Arrest-Felony,FRI,,,,PFA,,,,,,,,-,Traffic Stop,TRAFFIC STOP,,,,No weapon (unarmed),1102751,East Precinct,5,,61518098,3663767,White,Male,Yes,38,366000000000000,Active,,,,,,,,Self-Initiated,,Yes,,1,1,Jul-17
,,Arrest-Felony,FRI,,,,Takedown,,,,,,,,-,Disturbance,DISTURBANCE - COLD,,,,,1047348,Central Precinct,24,,842518276,618674,White,Male,Yes,22,619000000000000,Active,,,,,,,,Dispatched,Yes,Yes,Weapon Present or reported but not used or threatened use,1,1,Aug-17
,,Arrest-Misdemeanor,FRI,,,,PFA,,,,,,,,-,Threat,THREAT - PRIORITY,Knife / Edged Weapon / Stabbing Instrument,No,,,695410,East Precinct,9,,341517831,588396,Black,Male,No,33,588000000000000,Passive,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,1,1,Jul-17
,,Arrest-Misdemeanor,FRI,,,,Takedown,,,,,,,,-,TriMet,TRIMET INCIDENT - COLD,,,,No weapon (unarmed),218259,Traffic,15,,641518104,464024,Black,Female,Yes,28,464000000000000,Active,,,,,,,,Dispatched,,,,1,1,Jul-17
,,Cite and Release,FRI,Firearm,,,PFA,,,,,,,,-,Other,UNDESCRIBED INCIDENT,,No,,,1027551,East Precinct,7,,486517842,397037,White,Male,No,24,397000000000000,Passive,,,,,,,,Self-Initiated,,,,1,1,Jul-17
,,Detained and Released,FRI,,,,PFA,PFA,,,,,,,-,Robbery,ROBBERY - WITH WEAPON *H,,No,,,606800,Central Precinct,14,,367517831,302620,Black,Male,No,41,303000000000000,Active,Active,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,1,1,Jul-17
,,Detained and Released,FRI,,,,Strikes/kicks,Strikes/kicks,Takedown,,,,,,-,Subject Stop,PERSON CONTACT (86),,Unclear,,No weapon (unarmed),1043450,North Precinct,9,,809518275,562477,White,Male,No,41,562000000000000,Active,Active,Active,,,,,,Self-Initiated,,Yes,,1,1,Aug-17
,,Arrest-Felony,SAT,,,,PFA,,,,,,,,-,Shots Fired,SHOTS FIRED,,,,,353581,North Precinct,6,,841517936,619578,White,Male,No,22,620000000000000,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,1,1,Jul-17
,,Arrest-Misdemeanor,SAT,,,,CEW,,,,,,,,-,Collision,ACCIDENT - UNKNOWN INJURY,,,,No weapon (unarmed),953641,Central Precinct,6,,417518202,583208,White,Male,No,27,583000000000000,Active,,,,,,,,Self-Initiated,Yes,Yes,,1,1,Aug-17
,,Arrest-Misdemeanor,SAT,,,,PFA,,,,,,,,-,Suspicious,SUSPICIOUS - WITH WEAPON *H,,,,,1027551,East Precinct,7,,291517850,594948,Hispanic,Male,No,19,595000000000000,Active,,,,,,,,Dispatched,,,Weapon Present or reported but not used or threatened use,1,1,Jul-17
,,Arrest-Misdemeanor,SAT,,,,Takedown,,,,,,,,-,Assist,MEDICAL ASSIST,,,,,213461,East Precinct,2,,577517753,1692187,Black,Male,No,21,1690000000000000,Active,,,,,,,,Dispatched,Yes,,Weapon Present or reported but not used or threatened use,1,1,Jul-17
,,Arrest-Misdemeanor,SAT,,,,Takedown,,,,,,,,-,Unwanted Person,UNWANTED PERSON,,,,No weapon (unarmed),536699,East Precinct,12,,405517851,3497812,White,Female,Yes,27,3500000000000000,Active,,,,,,,,Dispatched,,Yes,,1,1,Jul-17
,,Arrest-Misdemeanor,SAT,,,,Takedown,,,,,,,,-,Unwanted Person,UNWANTED PERSON,Knife / Edged Weapon / Stabbing Instrument,No,,,591801,Central Precinct,3,,511517772,535640,White,Male,Yes,35,536000000000000,Active,,,,,,,,Self-Initiated,Yes,Yes,,1,1,Jul-17
,,Arrest-Other Agency,SAT,,,,PFA,,,,,,,,-,Assist,ASSIST - CITIZEN OR AGENCY,,,,No weapon (unarmed),606800,Central Precinct,14,,901518296,419931,White,Male,Yes,36,420000000000000,Active,,,,,,,,Self-Initiated,,,,1,1,Aug-17
,,Arrest-Other Agency,SAT,,,,PFA,,,,,,,,-,Assist,ASSIST - CITIZEN OR AGENCY,,,,No weapon (unarmed),606800,Central Precinct,14,,901518296,156630,White,Male,Yes,48,157000000000000,Active,,,,,,,,Dispatched,,,,1,1,Aug-17
