Block Address,Incident Number,Neighborhood,Occur 2hr Time,Occur Month,Occur Year,Occurence Date,Person Injury,Precinct,Open Data Latitude,Open Data Longitude,CasingsRecovered,X,Y
,20-0934,,2200 - 2400,8,2020,8/28/2020,True,North,0,0,0,0,0
,20-0955,,1200 - 1400,7,2020,7/29/2020,True,Outside Jurisdiction,0,0,0,0,0
,21-0014,,0200 - 0400,1,2021,1/1/2021,False,East,0,0,0,0,0
,21-0036,,1800 - 2000,1,2021,1/12/2021,True,East,0,0,0,0,0
,21-0060,,1800 - 2000,1,2021,1/19/2021,False,East,0,0,12,0,0
,21-0069,,0000 - 0200,1,2021,1/23/2021,True,North,0,0,0,0,0
,21-0134,,1600 - 1800,2,2021,2/13/2021,True,North,0,0,0,0,0
,21-0378,,1600 - 1800,5,2021,5/10/2021,True,East,0,0,0,0,0
,21-0483,,2000 - 2200,6,2021,6/6/2021,True,North,0,0,0,0,0
,21-0485,,0400 - 0600,6,2021,6/8/2021,True,North,0,0,0,0,0
,21-0620,,2200 - 2400,7,2021,7/9/2021,False,East,0,0,27,0,0
,21-0625,,0200 - 0400,7,2021,7/11/2021,True,North,0,0,0,0,0
,21-0704,,1600 - 1800,7,2021,7/23/2021,True,North,0,0,0,0,0
,21-0834,,2200 - 2400,8,2021,8/25/2021,True,East,0,0,0,0,0
,21-1054,,0200 - 0400,10,2021,10/21/2021,True,East,0,0,0,0,0
,21-1074,,0200 - 0400,10,2021,10/24/2021,True,East,0,0,0,0,0
,21-1093,,0800 - 1000,10,2021,10/28/2021,False,North,0,0,6,0,0
,21-1132,,1600 - 1800,11,2021,11/7/2021,True,North,0,0,0,0,0
,21-1167,,1400 - 1600,11,2021,11/18/2021,True,North,0,0,0,0,0
,21-1182,,0200 - 0400,11,2021,11/25/2021,True,North,0,0,0,0,0
,21-1194,,1400 - 1600,11,2021,11/21/2021,True,East,0,0,0,0,0
,21-1201,,1000 - 1200,11,2021,11/30/2021,False,East,0,0,0,0,0
,21-1213,,2200 - 2400,12,2021,12/1/2021,False,East,0,0,0,0,0
,21-1297,,1800 - 2000,12,2021,12/22/2021,True,East,0,0,0,0,0
,21-1333,,0200 - 0400,10,2021,10/21/2021,True,North,0,0,0,0,0
,21-1340,,1600 - 1800,4,2021,4/10/2021,False,North,0,0,0,0,0
,22-0060,,0400 - 0600,1,2022,1/20/2022,False,East,0,0,2,0,0
,22-0118,,2000 - 2200,2,2022,2/1/2022,True,East,0,0,0,0,0
,22-0260,,1200 - 1400,3,2022,3/3/2022,True,North,0,0,0,0,0
,22-0357,,2200 - 2400,3,2022,3/23/2022,True,North,0,0,1,0,0
300 BLOCK OF SW LANE ST,19-0156,South Portland,2200 - 2400,5,2019,5/23/2019,False,Central,0,0,0,0,0
300 BLOCK OF SW LANE ST,19-0448,South Portland,0000 - 0200,8,2019,8/15/2019,False,Central,0,0,0,0,0
4000 BLOCK OF SW MACADAM AVE,20-0001,South Portland,0000 - 0200,1,2020,1/1/2020,False,Central,0,0,41,0,0
5400 BLOCK OF NE 82ND AVE,21-0109,Sumner,0000 - 0200,2,2021,2/2/2021,False,North,0,0,0,0,0
12400 BLOCK OF SW 19TH AVE,19-0358,Arnold Creek,1400 - 1600,11,2019,11/4/2019,False,Central,45.435117481,-122.697409949,2,"7,638,107","652,401"
11300 BLOCK OF SW 64TH AVE,21-0022,Ashcreek,1800 - 2000,1,2021,1/5/2021,False,Central,45.443490043,-122.742717252,16,"7,626,566","655,772"
11200 BLOCK OF SW 62ND AVE,20-0060,Ashcreek,0000 - 0200,2,2020,2/3/2020,False,Central,45.443943992,-122.740969458,0,"7,627,019","655,925"
SW 62ND AVE / SW POMONA ST,19-0306,Ashcreek,1200 - 1400,9,2019,9/18/2019,False,Central,45.445075991,-122.740608697,0,"7,627,123","656,335"
11300 BLOCK OF SW 66TH AVE,19-0298,Ashcreek,2200 - 2400,9,2019,9/12/2019,False,Central,45.446119385,-122.744641310,3,"7,626,099","656,744"
10900 BLOCK OF SW CAPITOL HWY,19-0453,West Portland Park,2200 - 2400,9,2019,9/21/2019,False,Central,45.446422038,-122.725865125,0,"7,630,919","656,721"
10700 BLOCK OF SW CAPITOL HWY,19-0086,West Portland Park,1200 - 1400,3,2019,3/20/2019,False,Central,45.447944200,-122.724907330,1,"7,631,180","657,269"
10400 BLOCK OF SW BARBUR BLVD,20-0251,West Portland Park,0000 - 0200,6,2020,6/21/2020,True,Central,45.450352959,-122.727749838,1,"7,630,475","658,167"
9800 BLOCK OF SW BARBUR BLVD,19-0276,Multnomah,1600 - 1800,8,2019,8/27/2019,False,Central,45.454275919,-122.719143699,5,"7,632,722","659,536"
1700 BLOCK OF SW COLLINS CT,20-0154,Marshall Park,2200 - 2400,4,2020,4/3/2020,False,Central,45.456029231,-122.695746625,1,"7,638,741","660,011"
4600 BLOCK OF SW WOOD PKWY,21-1204,Crestwood,1000 - 1200,11,2021,11/28/2021,False,Central,45.456097721,-122.722407771,0,"7,631,903","660,223"
4000 BLOCK OF SW BRUGGER ST,21-1046,Multnomah,2200 - 2400,10,2021,10/19/2021,False,Central,45.456133881,-122.718553470,5,"7,632,892","660,209"
1900 BLOCK OF SE OCHOCO ST,21-0487,Sellwood-Moreland,0000 - 0200,6,2021,6/5/2021,True,Central,45.458728321,-122.644563343,0,"7,651,896","660,642"
SE 16TH AVE / SE LINN ST,19-0071,Sellwood-Moreland,0400 - 0600,3,2019,3/10/2019,False,Central,45.459327944,-122.649030508,2,"7,650,756","660,891"
2000 BLOCK OF SE MARION ST,21-1148,Sellwood-Moreland,0000 - 0200,11,2021,11/13/2021,False,Central,45.459988605,-122.643632302,10,"7,652,147","661,095"
SE CLATSOP ST / SE 147TH AVE,21-0571,Pleasant Valley,1200 - 1400,6,2021,6/25/2021,True,East,45.461257253,-122.511862815,0,"7,685,957","660,688"
SE CLATSOP ST / SE DEARDORFF RD,20-0225,Pleasant Valley,2000 - 2200,6,2020,6/3/2020,False,East,45.461270920,-122.527458087,5,"7,681,957","660,793"
14500 BLOCK OF SE CLATSOP ST,20-0382,,1600 - 1800,7,2020,7/30/2020,False,East,45.461301752,-122.513236729,3,"7,685,605","660,713"
6100 BLOCK OF SE CLATSOP ST,21-1331,,2200 - 2400,12,2021,12/2/2021,False,East,45.461404581,-122.600584105,0,"7,663,202","661,321"
6700 BLOCK OF SE CLATSOP ST,21-0187,Brentwood-Darlington,1800 - 2000,3,2021,3/2/2021,False,East,45.461504991,-122.594037817,4,"7,664,882","661,314"
8700 BLOCK OF SW BARBUR CT,21-0729,Multnomah,2200 - 2400,8,2021,8/3/2021,False,Central,45.461561980,-122.703691964,30,"7,636,758","662,083"
5800 BLOCK OF SE HARNEY DR,21-0720,Brentwood-Darlington,2200 - 2400,8,2021,8/2/2021,True,East,45.461827909,-122.603087207,4,"7,662,564","661,492"
8400 BLOCK OF SE 16TH AVE,22-0290,Sellwood-Moreland,1200 - 1400,3,2022,3/2/2022,False,Central,45.461828671,-122.648965202,0,"7,650,797","661,802"
8500 BLOCK OF SE 72ND AVE,21-0871,Brentwood-Darlington,0200 - 0400,9,2021,9/4/2021,False,East,45.461915003,-122.589304148,0,"7,666,100","661,432"
8400 BLOCK OF SE 138TH DR,20-0269,Pleasant Valley,1600 - 1800,6,2020,6/21/2020,True,East,45.462426689,-122.523530350,1,"7,682,975","661,189"
8300 BLOCK OF SE MCLOUGHLIN BLVD,21-0179,Sellwood-Moreland,2200 - 2400,2,2021,2/27/2021,True,Central,45.462527123,-122.638893361,6,"7,653,387","661,988"
8400 BLOCK OF SE 77TH AVE,20-0638,Brentwood-Darlington,0000 - 0200,10,2020,10/8/2020,False,East,45.462822307,-122.584370318,1,"7,667,374","661,730"
1800 BLOCK OF SE UMATILLA ST,19-0130,Sellwood-Moreland,2200 - 2400,5,2019,5/2/2019,True,Central,45.462847451,-122.645545339,0,"7,651,684","662,150"
SE 23RD AVE / SE UMATILLA ST,21-1116,Sellwood-Moreland,1000 - 1200,11,2021,11/4/2021,False,Central,45.462898737,-122.641476758,0,"7,652,728","662,141"
8500 BLOCK OF SE HARNEY ST,21-0127,Lents,2000 - 2200,2,2021,2/8/2021,False,East,45.463200041,-122.575030702,0,"7,669,773","661,806"
8500 BLOCK OF SE HARNEY ST,21-0377,Lents,0000 - 0200,5,2021,5/9/2021,False,East,45.463200041,-122.575030702,0,"7,669,773","661,806"
8500 BLOCK OF SE HARNEY ST,21-0379,Lents,0000 - 0200,5,2021,5/9/2021,True,East,45.463200041,-122.575030702,2,"7,669,773","661,806"
8500 BLOCK OF SE HARNEY ST,21-0406,Lents,0000 - 0200,5,2021,5/17/2021,False,East,45.463200041,-122.575030702,5,"7,669,773","661,806"
8900 BLOCK OF SE HARNEY CT,20-0815,Lents,1400 - 1600,11,2020,11/19/2020,False,East,45.463404619,-122.571451174,0,"7,670,693","661,857"
14600 BLOCK OF SE TENINO ST,21-0800,Pleasant Valley,1200 - 1400,8,2021,8/7/2021,False,East,45.463415407,-122.512391468,0,"7,685,841","661,478"
3300 BLOCK OF SW SPRING GARDEN ST,21-1137,Multnomah,1400 - 1600,11,2021,11/7/2021,False,Central,45.463477427,-122.711236877,2,"7,634,842","662,834"
SE 9TH AVE / SE TENINO ST,20-0533,Sellwood-Moreland,2200 - 2400,8,2020,8/31/2020,False,Central,45.463609993,-122.656974862,0,"7,648,760","662,506"
SE TENINO ST / SE 65TH AVE,20-0427,Brentwood-Darlington,0800 - 1000,8,2020,8/13/2020,False,East,45.464153339,-122.596552760,5,"7,664,262","662,296"
SE TACOMA ST / SE 19TH AVE,20-0634,Sellwood-Moreland,2000 - 2200,9,2020,9/30/2020,False,Central,45.464316258,-122.645054916,0,"7,651,824","662,682"
8100 BLOCK OF SE BUFORD LN,20-0494,Pleasant Valley,2000 - 2200,8,2020,8/26/2020,False,East,45.464332702,-122.526218276,0,"7,682,303","661,901"
8300 BLOCK OF SW 6TH AVE,20-0764,South Burlingame,1800 - 2000,11,2020,11/16/2020,False,Central,45.464487470,-122.684422782,0,"7,641,729","663,015"
SE 92ND AVE / SE CRYSTAL SPRINGS BLVD,21-0424,Lents,0200 - 0400,5,2021,5/22/2021,False,East,45.464709979,-122.568593997,4,"7,671,438","662,314"
8300 BLOCK OF SW BARBUR BLVD,20-0309,Multnomah,2000 - 2200,7,2020,7/9/2020,True,Central,45.464855131,-122.699222524,6,"7,637,937","663,252"
8300 BLOCK OF SW BARBUR BLVD,22-0160,Multnomah,2000 - 2200,2,2022,2/9/2022,False,Central,45.464855131,-122.699222524,23,"7,637,937","663,252"
4800 BLOCK OF SE TENINO CT,21-0181,Brentwood-Darlington,1400 - 1600,3,2021,3/1/2021,False,East,45.464872459,-122.613294509,0,"7,659,975","662,670"
400 BLOCK OF SE SPOKANE ST,22-0349,Sellwood-Moreland,0200 - 0400,3,2022,3/18/2022,False,Central,45.464997405,-122.661398436,0,"7,647,639","663,042"
7700 BLOCK OF SE CRYSTAL SPRINGS BLVD,21-0190,Brentwood-Darlington,1800 - 2000,3,2021,3/2/2021,False,East,45.465124008,-122.583928356,0,"7,667,509","662,566"
2100 BLOCK OF SW MULTNOMAH BLVD,20-0524,Multnomah,2000 - 2200,9,2020,9/7/2020,False,Central,45.465309541,-122.699563741,1,"7,637,854","663,420"
7900 BLOCK OF SE 89TH AVE,22-0333,Lents,1000 - 1200,3,2022,3/19/2022,False,East,45.465600743,-122.571839239,0,"7,670,614","662,660"
8100 BLOCK OF SW RUBY TER,21-0578,South Burlingame,1800 - 2000,6,2021,6/29/2021,False,Central,45.465621061,-122.681803196,0,"7,642,412","663,410"
2100 BLOCK OF SE NEHALEM ST,20-0153,Sellwood-Moreland,1200 - 1400,4,2020,4/17/2020,False,Central,45.465784783,-122.642669465,0,"7,652,450","663,201"
6000 BLOCK OF SE NEHALEM ST,21-1342,Brentwood-Darlington,1400 - 1600,4,2021,4/7/2021,False,East,45.465889597,-122.601529686,0,"7,663,002","662,962"
5300 BLOCK OF SE FLAVEL DR,20-0473,Brentwood-Darlington,1400 - 1600,8,2020,8/25/2020,True,East,45.466083467,-122.607865146,6,"7,661,379","663,075"
700 BLOCK OF SE MILLER ST,19-0308,Sellwood-Moreland,1800 - 2000,9,2019,9/19/2019,False,Central,45.466421107,-122.658496966,1,"7,648,397","663,541"
SE 60TH AVE / SE LEXINGTON ST,22-0268,Brentwood-Darlington,2200 - 2400,3,2022,3/5/2022,False,East,45.466547178,-122.602177866,6,"7,662,842","663,206"
8000 BLOCK OF SE LAMBERT ST,20-0319,Brentwood-Darlington,2200 - 2400,7,2020,7/12/2020,False,East,45.466835266,-122.580945861,15,"7,668,290","663,170"
7700 BLOCK OF SE 92ND AVE,21-1232,Lents,2200 - 2400,12,2021,12/5/2021,False,East,45.466889935,-122.568661642,2,"7,671,441","663,109"
3800 BLOCK OF SE LAMBERT ST,21-0674,Eastmoreland,1400 - 1600,7,2021,7/23/2021,False,Central,45.467113761,-122.622973826,6,"7,657,514","663,552"
8600 BLOCK OF SE MALDEN CT,20-0410,Lents,0200 - 0400,8,2020,8/7/2020,False,East,45.467491774,-122.574536227,0,"7,669,940","663,367"
7600 BLOCK OF SE 82ND AVE,21-0613,Lents,1200 - 1400,7,2021,7/8/2021,True,East,45.467655572,-122.578979501,0,"7,668,802","663,456"
7600 BLOCK OF SE 82ND AVE,21-1041,Lents,1800 - 2000,10,2021,10/17/2021,False,East,45.467655572,-122.578979501,0,"7,668,802","663,456"
7600 BLOCK OF SE 82ND AVE,21-1334,Lents,1000 - 1200,10,2021,10/18/2021,False,East,45.467655572,-122.578979501,0,"7,668,802","663,456"
SE MT SCOTT BLVD / SE 92ND AVE,22-0127,Lents,1400 - 1600,2,2022,2/1/2022,False,East,45.467736521,-122.568575479,0,"7,671,471","663,417"
10500 BLOCK OF SE REX ST,22-0141,Lents,1200 - 1400,2,2022,2/7/2022,False,East,45.467856994,-122.555147120,1,"7,674,916","663,373"
SE 23RD AVE / SE LAMBERT ST,20-0799,Sellwood-Moreland,0600 - 0800,11,2020,11/28/2020,False,Central,45.468291715,-122.641535690,2,"7,652,765","664,107"
11200 BLOCK OF SE FLAVEL ST,21-0402,Pleasant Valley,1000 - 1200,4,2021,4/29/2021,False,East,45.468303369,-122.547516895,0,"7,676,877","663,486"
7500 BLOCK OF SE 82ND AVE,19-0266,Brentwood-Darlington,0200 - 0400,8,2019,8/22/2019,True,East,45.468328222,-122.579105486,1,"7,668,776","663,702"
7500 BLOCK OF SE 82ND AVE,21-0579,Brentwood-Darlington,0600 - 0800,6,2021,6/30/2021,False,East,45.468328222,-122.579105486,3,"7,668,776","663,702"
7500 BLOCK OF SE 82ND AVE,21-0903,Brentwood-Darlington,0200 - 0400,9,2021,9/14/2021,False,East,45.468328222,-122.579105486,1,"7,668,776","663,702"
SE FLAVEL ST / SE 92ND AVE,20-0817,Lents,1800 - 2000,11,2020,11/30/2020,True,East,45.468430763,-122.568569553,0,"7,671,479","663,670"
SE FLAVEL ST / SE 92ND AVE,21-1134,Lents,1800 - 2000,11,2021,11/7/2021,True,East,45.468430763,-122.568569553,2,"7,671,479","663,670"
9000 BLOCK OF SE FLAVEL ST,19-0041,Lents,1600 - 1800,2,2019,2/7/2019,False,East,45.468431913,-122.570332056,1,"7,671,027","663,682"
8800 BLOCK OF SE FLAVEL ST,19-0129,Lents,0200 - 0400,5,2019,5/2/2019,False,East,45.468464039,-122.572200968,2,"7,670,548","663,706"
SE FLAVEL ST / SPRINGWATER TRAIL CORR,21-0332,Lents,1400 - 1600,4,2021,4/13/2021,False,East,45.468509874,-122.572397602,1,"7,670,498","663,724"
SE FLAVEL ST / SE 86TH AVE,22-0369,Lents,0600 - 0800,3,2022,3/26/2022,True,East,45.468572038,-122.574879801,1,"7,669,862","663,763"
7300 BLOCK OF SE FLAVEL ST,21-0412,Brentwood-Darlington,0800 - 1000,5,2021,5/17/2021,False,East,45.468610050,-122.587764396,0,"7,666,558","663,862"
SE 72ND AVE / SE FLAVEL ST,20-0170,Brentwood-Darlington,0200 - 0400,4,2020,4/30/2020,False,East,45.468649741,-122.589352864,0,"7,666,151","663,887"
8400 BLOCK OF SE FLAVEL ST,20-0314,Lents,0200 - 0400,7,2020,7/11/2020,False,East,45.468661386,-122.576766411,10,"7,669,379","663,808"
8400 BLOCK OF SE FLAVEL ST,20-0960,Lents,0200 - 0400,7,2020,7/11/2020,False,East,45.468661386,-122.576766411,0,"7,669,379","663,808"
6500 BLOCK OF SE FLAVEL ST,21-0730,Brentwood-Darlington,0200 - 0400,8,2021,8/4/2021,False,East,45.468681953,-122.596014044,0,"7,664,443","663,943"
7400 BLOCK OF SE 86TH AVE,20-0292,Lents,1000 - 1200,7,2020,7/5/2020,False,East,45.469018108,-122.574942878,0,"7,669,850","663,926"
7400 BLOCK OF SE 66TH AVE,21-0451,Brentwood-Darlington,1200 - 1400,5,2021,5/30/2021,False,East,45.469038225,-122.595134238,1,"7,664,672","664,067"
7400 BLOCK OF SE 85TH AVE,21-0658,Lents,0000 - 0200,7,2021,7/20/2021,False,East,45.469043173,-122.575832833,5,"7,669,622","663,941"
7400 BLOCK OF SE 85TH AVE,21-0498,Lents,2200 - 2400,6,2021,6/9/2021,True,East,45.469043660,-122.575957628,2,"7,669,590","663,942"
8700 BLOCK OF SE HENDERSON ST,21-0656,Lents,1400 - 1600,7,2021,7/19/2021,True,East,45.469048530,-122.572803274,5,"7,670,399","663,923"
7400 BLOCK OF SE 84TH AVE,20-0310,Lents,1200 - 1400,7,2020,7/10/2020,True,East,45.469068012,-122.576886551,0,"7,669,352","663,957"
7400 BLOCK OF SE 83RD AVE,21-0423,Lents,0200 - 0400,5,2021,5/21/2021,False,East,45.469092912,-122.577936374,8,"7,669,083","663,973"
7300 BLOCK OF SE 57TH AVE,19-0032,Brentwood-Darlington,0000 - 0200,1,2019,1/31/2019,True,East,45.469674871,-122.604726767,1,"7,662,218","664,363"
7300 BLOCK OF SE 84TH AVE,22-0122,Lents,1800 - 2000,1,2022,1/30/2022,False,East,45.469978927,-122.576884745,3,"7,669,361","664,289"
7600 BLOCK OF SE HENDERSON ST,21-0907,Brentwood-Darlington,2200 - 2400,9,2021,9/11/2021,False,East,45.469992991,-122.585038842,0,"7,667,270","664,348"
8100 BLOCK OF SE HENDERSON ST,21-0122,Brentwood-Darlington,2000 - 2200,2,2021,2/8/2021,False,East,45.470081756,-122.579540077,7,"7,668,681","664,344"
7300 BLOCK OF SE 72ND AVE,20-0279,Brentwood-Darlington,0400 - 0600,7,2020,7/2/2020,False,East,45.470193373,-122.589409613,0,"7,666,151","664,450"
7200 BLOCK OF SE 83RD AVE,20-0230,Lents,2200 - 2400,6,2020,6/6/2020,False,East,45.470744952,-122.578066967,7,"7,669,065","664,576"
7500 BLOCK OF SE OGDEN ST,19-0218,Brentwood-Darlington,2200 - 2400,7,2019,7/15/2019,False,East,45.470944564,-122.585970625,0,"7,667,040","664,701"
8000 BLOCK OF SE OGDEN ST,22-0087,Brentwood-Darlington,1800 - 2000,1,2022,1/27/2022,False,East,45.470963699,-122.580531609,0,"7,668,435","664,672"
SE 78TH AVE / SE OGDEN ST,22-0228,Brentwood-Darlington,1800 - 2000,2,2022,2/23/2022,False,East,45.470996022,-122.582985540,3,"7,667,806","664,700"
SE OGDEN ST / SE 67TH AVE,21-0933,Brentwood-Darlington,0200 - 0400,9,2021,9/21/2021,False,East,45.471076915,-122.594222833,13,"7,664,925","664,804"
7100 BLOCK OF SE 66TH AVE,22-0070,Brentwood-Darlington,0000 - 0200,1,2022,1/24/2022,False,East,45.471365296,-122.595259023,9,"7,664,662","664,916"
7000 BLOCK OF SE 72ND AVE,20-0243,Brentwood-Darlington,0000 - 0200,6,2020,6/16/2020,False,East,45.472044819,-122.589286607,20,"7,666,200","665,124"
SE BYBEE BLVD / SE 84TH AVE,22-0215,Lents,2200 - 2400,2,2022,2/21/2022,True,East,45.472218560,-122.576989991,29,"7,669,355","665,106"
9400 BLOCK OF SE COOPER ST,21-0850,Lents,1200 - 1400,8,2021,8/31/2021,False,East,45.472931567,-122.566670515,13,"7,672,008","665,298"
9300 BLOCK OF SE COOPER ST,21-0353,Lents,0400 - 0600,5,2021,5/1/2021,False,East,45.472933488,-122.567325711,2,"7,671,840","665,303"
1600 BLOCK OF SE RURAL ST,20-0014,Sellwood-Moreland,0000 - 0200,1,2020,1/4/2020,False,East,45.472956208,-122.649304095,5,"7,650,818","665,860"
6800 BLOCK OF SE 72ND AVE,21-0345,Brentwood-Darlington,1400 - 1600,4,2021,4/25/2021,True,East,45.473431033,-122.589399964,0,"7,666,184","665,630"
6800 BLOCK OF SE 47TH AVE,20-0042,Brentwood-Darlington,2200 - 2400,1,2020,1/23/2020,False,East,45.473474162,-122.614616592,2,"7,659,718","665,814"
8000 BLOCK OF SE COOPER ST,19-0315,Brentwood-Darlington,0200 - 0400,9,2019,9/21/2019,False,East,45.473479775,-122.581278858,1,"7,668,267","665,594"
6700 BLOCK OF SE 66TH AVE,21-0163,Brentwood-Darlington,0200 - 0400,2,2021,2/26/2021,False,East,45.473853806,-122.595257183,8,"7,664,686","665,823"
5900 BLOCK OF SW TEXAS ST,22-0318,Maplewood,0800 - 1000,3,2022,3/13/2022,False,Central,45.473874342,-122.738093929,0,"7,628,059","666,813"
9600 BLOCK OF SE GLENWOOD ST,21-1243,Lents,1800 - 2000,12,2021,12/6/2021,False,East,45.473913157,-122.564265051,2,"7,672,634","665,640"
SE 86TH AVE / SE GLENWOOD ST,21-0326,Lents,2000 - 2200,4,2021,4/17/2021,False,East,45.473969050,-122.574862372,4,"7,669,917","665,730"
6600 BLOCK OF SE 96TH AVE,20-0668,Lents,1800 - 2000,10,2020,10/16/2020,False,East,45.474213443,-122.564654223,4,"7,672,537","665,752"
6600 BLOCK OF SE 87TH AVE,20-0613,Lents,2200 - 2400,9,2020,9/29/2020,False,East,45.474392300,-122.573910709,3,"7,670,165","665,878"
16200 BLOCK OF SE FOSTER RD,19-0437,Pleasant Valley,2000 - 2200,2,2019,2/26/2019,False,East,45.474703669,-122.497395580,0,"7,689,789","665,497"
6600 BLOCK OF SE 72ND AVE,20-0905,Brentwood-Darlington,2200 - 2400,12,2020,12/26/2020,False,East,45.474851590,-122.589284507,18,"7,666,227","666,147"
6500 BLOCK OF SE 128TH AVE,22-0016,Pleasant Valley,1400 - 1600,1,2022,1/6/2022,True,East,45.474921192,-122.532059213,1,"7,680,902","665,798"
6500 BLOCK OF SE 96TH AVE,21-0595,Lents,0000 - 0200,7,2021,7/5/2021,False,East,45.474921322,-122.564652644,0,"7,672,544","666,010"
6700 BLOCK OF SW 26TH AVE,21-0575,Multnomah,0000 - 0200,6,2021,6/29/2021,False,Central,45.475201817,-122.703940122,29,"7,636,830","667,056"
6500 BLOCK OF SE 138TH PL,21-0262,Pleasant Valley,2000 - 2200,3,2021,3/27/2021,False,East,45.475639960,-122.521805329,0,"7,683,538","665,994"
SE DUKE ST / SE 78TH AVE,22-0380,Brentwood-Darlington,1400 - 1600,3,2022,3/28/2022,False,East,45.475876372,-122.583016239,12,"7,667,844","666,479"
SE DUKE ST / SE 72ND AVE,19-0362,Mt Scott-Arleta,2000 - 2200,11,2019,11/9/2019,False,East,45.475884821,-122.589345893,4,"7,666,221","666,524"
SE DUKE ST / SE 72ND AVE,20-0203,Mt Scott-Arleta,2000 - 2200,5,2020,5/24/2020,False,East,45.475884821,-122.589345893,4,"7,666,221","666,524"
11000 BLOCK OF SE FOSTER RD,21-0212,Lents,1400 - 1600,3,2021,3/8/2021,True,East,45.475958600,-122.549789385,0,"7,676,365","666,291"
2000 BLOCK OF SW VERMONT ST,20-0566,Hillsdale,2200 - 2400,8,2020,8/31/2020,False,Central,45.475993795,-122.699411813,0,"7,637,999","667,313"
SE FOSTER RD / SE 110TH DR,21-0509,Lents,1000 - 1200,6,2021,6/14/2021,True,East,45.476042746,-122.549379048,0,"7,676,471","666,319"
SE FOSTER RD / SE 111TH AVE,20-0274,Powellhurst-Gilbert,0000 - 0200,6,2020,6/29/2020,False,East,45.476042746,-122.549379048,0,"7,676,471","666,319"
SE FOSTER RD / SE 111TH AVE,20-0508,Powellhurst-Gilbert,0000 - 0200,9,2020,9/2/2020,False,East,45.476042746,-122.549379048,0,"7,676,471","666,319"
SW CAPITOL HWY / SW 26TH AVE,21-0246,Multnomah,2000 - 2200,3,2021,3/22/2021,False,Central,45.476072653,-122.703884199,9,"7,636,853","667,373"
SE 101ST AVE / SE WOODSTOCK BLVD,20-0263,Lents,0000 - 0200,6,2020,6/13/2020,True,East,45.476129948,-122.559837445,0,"7,673,790","666,419"
6400 BLOCK OF SE 82ND AVE,20-0811,Lents,2200 - 2400,11,2020,11/29/2020,False,East,45.476319485,-122.579003984,1,"7,668,877","666,614"
6400 BLOCK OF SE 82ND AVE,21-0565,Lents,2200 - 2400,6,2021,6/26/2021,False,East,45.476319485,-122.579003984,0,"7,668,877","666,614"
6400 BLOCK OF SE 82ND AVE,21-1255,Lents,0200 - 0400,12,2021,12/11/2021,False,East,45.476319485,-122.579003984,2,"7,668,877","666,614"
11500 BLOCK OF SE FOSTER RD,21-1150,Pleasant Valley,2000 - 2200,11,2021,11/13/2021,True,East,45.476378134,-122.545495276,0,"7,677,470","666,416"
6400 BLOCK OF SE 137TH AVE,20-0172,Pleasant Valley,0200 - 0400,5,2020,5/2/2020,False,East,45.476386278,-122.522424642,16,"7,683,386","666,270"
